elapsed_time,power,smooth_power
0 days 00:11:15,153.0,154.73333333333332
0 days 00:11:16,137.0,159.7
0 days 00:11:17,168.0,160.86666666666667
0 days 00:11:18,143.0,164.53333333333333
0 days 00:11:19,144.0,172.23333333333332
0 days 00:11:20,159.0,180.0
0 days 00:11:21,95.0,185.83333333333334
0 days 00:11:22,92.0,184.56666666666666
0 days 00:11:23,86.0,180.43333333333334
0 days 00:11:24,60.0,178.1
0 days 00:11:25,182.0,178.16666666666666
0 days 00:11:26,264.0,186.03333333333333
0 days 00:11:27,337.0,196.56666666666666
0 days 00:11:29,337.0,210.66666666666666
0 days 00:11:30,356.0,222.53333333333333
